data_loss,epoch,step,train_loss
0.26200559735298157,0,0,0.26200559735298157
0.23840387165546417,1,1,0.23840387165546417
0.2167806476354599,2,2,0.2167806476354599
0.19700929522514343,3,3,0.19700929522514343
0.17898991703987122,4,4,0.17898991703987122
